ZIP Code, Average Rating, Median Income
01093, 4.58, 97083
01434, 4.389999999999999, 96500
04652, 4.160000000000001, 40977
04849, 4.14, 65828
13635, 4.32, 55167
13660, 4.5, 59375
14031, 4.2, 85655
14895, 4.340000000000001, 48778
17229, 4.36, 53875
17362, 4.42, 78315
17363, 4.38, 82607
17407, 4.44, 99932
17979, 4.42, 57083
18458, 4.459999999999999, 68990
18503, 4.2, 32625
18622, 4.4, 74844
18657, 4.24, 65156
18705, 4.06, 51955
21543, 4.46, 31225
22443, 4.42, 53727
22454, 4.380000000000001, 49267
29590, 4.44, 30985
34287, 4.279999999999999, 52793
43138, 4.14, 54032
43214, 4.4399999999999995, 76831
43215, 4.36, 64368
43223, 4.359999999999999, 41292
43310, 4.4799999999999995, 62614
43345, 4.5, 73047
43408, 4.380000000000001, 54063
45237, 4.459999999999999, 38542
45819, 4.42, 50417
52041, 4.46, 73024
52144, 4.459999999999999, 70398
52166, 4.4, 48125
52172, 4.539999999999999, 52597
52206, 4.4399999999999995, 95750
52301, 4.4, 59369
52316, 4.4, 55500
52318, 4.42, 71528
52342, 4.42, 47262
52401, 4.359999999999999, 39361
52501, 4.28, 45113
52655, 4.359999999999999, 50938
60062, 4.26, 116579
60097, 4.4, 77401
60120, 4.4, 67780
62357, 4.459999999999999, 48071
62378, 4.5, 54167
67219, 4.46, 57025
67515, 4.4, 80313
67567, 4.4, 45682
67576, 4.379999999999999, 62083
67635, 4.5200000000000005, 52500
67871, 4.64, 55568
73016, 4.46, 97813
73040, 4.4399999999999995, 48587
73528, 4.26, 56806
73638, 4.46, 37083
73661, 4.3, 58158
73731, 4.42, 52321
73758, 4.340000000000001, 50625
73801, 4.24, 53947
74016, 4.42, 51607
74032, 4.4399999999999995, 53750
74083, 4.4, 70333
74349, 4.4, 28500
83824, 4.5, 53125
84003, 4.46, 93741
84014, 4.3, 100230
84032, 4.42, 76699
84115, 4.34, 47651
84601, 4.24, 51440
85015, 4.44, 42038
93110, 4.359999999999999, 93264
93212, 4.459999999999999, 42983
93218, 4.42, 26905
93536, 4.36, 84674
93546, 4.4, 69702
93612, 4.3, 46892
93660, 4.42, 39625
